City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,fort bragg,35.139,-79.006,89.44,68,40,9.22,US,1720569817
131,happy valley-goose bay,53.3168,-60.3315,64.71,100,100,3.44,CA,1720569818
132,kem',64.9555,34.5793,53.24,83,32,7.72,RU,1720569819
133,wanning,18.8003,110.3967,83.66,81,38,5.97,CN,1720569820
134,governador valadares,-18.8511,-41.9494,73.38,55,4,3.13,BR,1720569822
135,st. john's,47.5649,-52.7093,66.27,91,61,1.99,CA,1720569823
136,guerrero negro,27.9769,-114.0611,72.61,66,2,13.78,MX,1720569824
137,afaahiti,-17.75,-149.2833,80.47,74,50,4.65,PF,1720569825
138,colonia,50.9333,6.95,68.29,89,0,2.3,DE,1720569609
139,isafjordur,66.0755,-23.124,45.86,79,97,8.48,IS,1720569827
140,el granada,37.5027,-122.4694,78.12,72,20,17.27,US,1720569829
141,mazagao,-0.115,-51.2894,84.25,82,35,3.13,BR,1720569830
142,yemetsk,63.4721,41.7941,54.93,93,81,5.44,RU,1720569831
143,kijang,35.2442,129.2139,74.93,97,100,15.93,KR,1720569795
144,novyy urgal,51.0736,132.5642,62.98,63,100,3.02,RU,1720569833
145,san lawrenz,36.0553,14.204,78.21,74,0,6.64,MT,1720569834
146,birao,10.2849,22.7882,73.8,83,85,8.59,CF,1720569836
147,aldinga beach,-35.2793,138.4604,56.26,84,3,11.97,AU,1720569837
148,iskateley,67.6803,53.1512,60.84,96,92,8.3,RU,1720569838
149,ghadamis,30.1337,9.5007,93.79,15,0,8.63,LY,1720569839
150,east london,-33.0153,27.9116,70.2,28,85,19.8,ZA,1720569840
151,el calafate,-50.3408,-72.2768,34.41,81,77,11.3,AR,1720569841
152,fortuna,40.5982,-124.1573,65.32,88,0,13.8,US,1720569843
153,nova vicosa,-17.8919,-39.3719,75.07,81,1,11.32,BR,1720569844
154,satsuma,30.8532,-88.0561,87.04,67,28,8.21,US,1720569698
155,mount isa,-20.7333,139.5,64.17,45,24,8.05,AU,1720569633
156,tolanaro,-25.0319,46.9987,60.87,94,0,0.0,MG,1720569847
157,midar,34.9403,-3.5331,69.17,55,21,1.61,MA,1720569848
158,sur,22.5667,59.5289,84.13,70,93,9.01,OM,1720569850
159,egilsstadir,65.2653,-14.3948,55.31,71,0,10.36,IS,1720569851
160,chandler,33.3062,-111.8412,115.07,14,0,6.91,US,1720569852
161,tete,-16.1564,33.5867,69.89,56,0,4.61,MZ,1720569642
162,fort mcmurray,56.7268,-111.381,92.71,31,0,9.22,CA,1720569854
163,kokpekty,48.75,82.4,62.38,91,88,10.8,KZ,1720569855
164,igarka,67.4667,86.5833,61.75,64,12,4.94,RU,1720569857
